Activity Id,Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
d4a6b5b2-2dba-464a-a26e-eec0b67db077,2018-08-05 10:17:10,Running,,18.70,1:49:19,5:51,10.26,1397.0,280,150,"","",2018-08-05-101710.gpx
03006a09-870b-4f15-bb6c-9b979793e75a,2018-08-01 18:20:26,Running,,18.20,1:43:05,5:40,10.59,1355.0,259,145,"","",2018-08-01-182026.gpx
a929c543-bc2e-446d-9431-40e60fbc6270,2018-07-31 18:25:24,Other,,16.80,1:07:21,4:01,14.97,1075.0,202,94,"","",2018-07-31-182524.gpx
6c6dd4aa-7567-40c7-8a8c-e6fc33cc80fb,2018-07-30 18:18:47,Running,,17.87,1:44:00,5:49,10.31,1269.0,261,141,"","TomTom MySports Watch",2018-07-30-181847.gpx
eb6a80cb-bf87-4426-bc11-9610b7b70cba,2018-07-27 11:43:03,Running,,12.71,1:14:51,5:53,10.19,893.0,180,145,"","TomTom MySports Watch",2018-07-27-114303.gpx
83e5d964-2630-475d-9c17-d906ddd59eb0,2018-07-20 08:01:51,Running,,11.01,59:18,5:23,11.14,795.0,85,,"","",2018-07-20-080151.gpx
1906f2c4-e77e-4364-98f2-f4eb1d8c9960,2018-07-18 08:08:39,Running,,11.04,55:41,5:03,11.90,801.0,87,,"","",2018-07-18-080839.gpx
324c89a8-c3c9-4576-867e-9038ba3fe761,2018-07-13 17:43:20,Running,,17.96,1:41:36,5:40,10.60,1271.0,258,145,"","TomTom MySports Watch",2018-07-13-174320.gpx
4968a9c1-bc7a-4568-8394-815a406a6c86,2018-07-07 16:02:30,Running,,17.85,1:37:40,5:28,10.97,1261.0,266,149,"","TomTom MySports Watch",2018-07-07-160230.gpx
e91eba7e-dd4c-4ae4-8909-c35dc6e2debb,2018-07-03 18:00:05,Running,,18.75,1:41:30,5:25,11.08,1332.0,300,139,"","TomTom MySports Watch",2018-07-03-180005.gpx
8aa44a93-bf2a-449b-bee4-603135afec7b,2018-06-28 12:24:25,Running,,17.95,1:36:59,5:24,11.10,1261.0,260,148,"","TomTom MySports Watch",2018-06-28-122425.gpx
4007c802-acff-47ad-a9b0-8403ef8d3def,2018-06-25 18:11:12,Running,,18.72,1:39:27,5:19,11.30,1317.0,301,142,"","TomTom MySports Watch",2018-06-25-181112.gpx
71c6e320-9ca9-4504-9cd6-4e8636ce5018,2018-06-21 18:03:18,Running,,14.38,1:15:59,5:17,11.36,1007.0,211,145,"","TomTom MySports Watch",2018-06-21-180318.gpx
874c8870-8621-4356-81fd-e309d38f714a,2018-06-18 18:17:49,Running,,11.63,1:02:52,5:24,11.10,811.0,145,141,"","TomTom MySports Watch",2018-06-18-181749.gpx
b5c6d02f-8c7f-4359-8263-29a9ca658af1,2018-06-16 17:29:00,Running,,14.95,1:19:03,5:17,11.35,1057.0,243,147,"","TomTom MySports Watch",2018-06-16-172900.gpx
2f10b609-c2ef-4d8d-90ad-bd49cec2c41b,2018-06-13 18:50:49,Running,,12.75,1:07:30,5:18,11.34,890.0,173,147,"","TomTom MySports Watch",2018-06-13-185049.gpx
784ecb1a-3614-47e1-a0ba-651f29c98f4c,2018-06-11 18:23:11,Running,,15.74,1:22:58,5:16,11.38,1101.0,209,147,"","TomTom MySports Watch",2018-06-11-182311.gpx
